start;Start
startD;2 M for passing here
startS;You start here
rodovrevejT;Rødovrevej
rodovrevejS;Kr. 1200
rodovrevejD;Denne grund koster 1200 Kr
hvidovrevejT;Hvidovrevej
hvidovrevejS;Kr. 1200
hvidovrevejD;Denne grund koster 1200 Kr
roskildevejT;Roskildevej
roskildevejS;Kr. 2000
roskildevejD;Denne grund koster 2000 Kr
valbyLanggadeT;Valby Langgade
valbyLanggadeS;Kr. 2000
valbyLanggadeD;Denne grund koster 2000 Kr
jailS;Fængsel
jailT;Fængsel
jailD;Fængsel man skal betale 1000 Kr for at komme ud eller slå 2 ens terninger
museetT;Museet
museetS;2M
museetD;Denne grunder koster 2M
biblioteketT;Biblioteket
biblioteketS;2M
biblioteketD;Denne grund koster 2M
skaterParkenT;SkaterParken
skaterParkenS;2M
skaterParkenD;Denne grund koster 2M
swimmingPoolenT;SvømmeBassenget SwimmingPoolen
swimmingPoolenS;2M
swimmingPoolenD;Denne grund koster 2M
parkeringT;Parkering
parkeringS;Gratis
parkeringD;Du holder parkeret og der sker ikke noget
spillehallenT;Spillehallen
spillehallenS;3M
spillehallenD;Denne grund koster 3M
biografenT;Biografen
biografenS;3M
biografenD;Denne grund koster 3M
legetøjsbutikkenT;LegetøjsButikken
legetøjsbutikkenS;3M
legetøjsbutikkenD;Denne grund koster 3M
dyrebutikkenT;Dyrebutikken
dyrebutikkenS;3M
dyrebutikkenD;Denne grund koster 3M
goToJailT;Gå i fængsel
goToJailS;Gå i fængsel
goToJailD;Du skal i fængsel
bowlinghallenT;Bowlinghallen
bowlinghallenS;4M
bowlinghallenD;Denne grund koster 4M
zoologiskhaveT;Zoologiskhave
zoologiskhaveS;4M
zoologiskhaveD;Denne grund koster 4M
vandlandetT;Vandlandet
vandlandetS;5M
vandlandetD;Denne grund koster 5M
strandpromenadenT;Strandpromenaden
strandpromenadenS;5M
strandpromenadenD;Denne grund koster 5M
